FileName,institutionCode,collectionCode,catalogueNumber,class,order,family,genus,specificEpithet,infraspecificEpithet,sex,lifeStage,country,locality,decimalLatitude,decimalLongitude,geodeticDatum,verbatimElevation,eventDate,measurementDeterminedDate,Patch,LightAngle1,LightAngle2,ProbeAngle1,ProbeAngle2,Replicate,Comments
AMNH_103040.00000019,AMNH,birds skins,103040,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Male,Adult,Nicaragua,Chontales,,,,,,,upper tail coverts,0,0,0,0,4,
AMNH_103040.00000020,AMNH,birds skins,103040,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Male,Adult,Nicaragua,Chontales,,,,,,,upper tail coverts,0,0,0,0,5,
AMNH_103040.00000021,AMNH,birds skins,103040,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Male,Adult,Nicaragua,Chontales,,,,,,,forehead,0,0,0,0,1,
AMNH_103040.00000022,AMNH,birds skins,103040,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Male,Adult,Nicaragua,Chontales,,,,,,,forehead,0,0,0,0,2,
AMNH_103040.00000023,AMNH,birds skins,103040,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Male,Adult,Nicaragua,Chontales,,,,,,,forehead,0,0,0,0,3,
AMNH_103040.00000024,AMNH,birds skins,103040,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Male,Adult,Nicaragua,Chontales,,,,,,,forehead,0,0,0,0,4,
AMNH_103040.00000025,AMNH,birds skins,103040,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Male,Adult,Nicaragua,Chontales,,,,,,,forehead,0,0,0,0,5,
AMNH_103040.00000026,AMNH,birds skins,103040,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Male,Adult,Nicaragua,Chontales,,,,,,,crown,0,0,0,0,1,
AMNH_103040.00000027,AMNH,birds skins,103040,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Male,Adult,Nicaragua,Chontales,,,,,,,crown,0,0,0,0,2,
AMNH_103040.00000028,AMNH,birds skins,103040,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Male,Adult,Nicaragua,Chontales,,,,,,,crown,0,0,0,0,3,
AMNH_103040.00000029,AMNH,birds skins,103040,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Male,Adult,Nicaragua,Chontales,,,,,,,crown,0,0,0,0,4,
AMNH_103040.00000030,AMNH,birds skins,103040,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Male,Adult,Nicaragua,Chontales,,,,,,,crown,0,0,0,0,5,
AMNH_103040.00000031,AMNH,birds skins,103040,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Male,Adult,Nicaragua,Chontales,,,,,,,back,0,0,0,0,1,
AMNH_103040.00000032,AMNH,birds skins,103040,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Male,Adult,Nicaragua,Chontales,,,,,,,back,0,0,0,0,2,
AMNH_103040.00000033,AMNH,birds skins,103040,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Male,Adult,Nicaragua,Chontales,,,,,,,back,0,0,0,0,3,
AMNH_103040.00000034,AMNH,birds skins,103040,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Male,Adult,Nicaragua,Chontales,,,,,,,back,0,0,0,0,4,
AMNH_103040.00000035,AMNH,birds skins,103040,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Male,Adult,Nicaragua,Chontales,,,,,,,back,0,0,0,0,5,
AMNH_103040.00000036,AMNH,birds skins,103040,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Male,Adult,Nicaragua,Chontales,,,,,,,lore,0,0,0,0,1,
AMNH_103040.00000037,AMNH,birds skins,103040,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Male,Adult,Nicaragua,Chontales,,,,,,,lore,0,0,0,0,2,
AMNH_103040.00000038,AMNH,birds skins,103040,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Male,Adult,Nicaragua,Chontales,,,,,,,lore,0,0,0,0,3,
AMNH_103040.00000039,AMNH,birds skins,103040,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Male,Adult,Nicaragua,Chontales,,,,,,,lore,0,0,0,0,4,
AMNH_103040.00000040,AMNH,birds skins,103040,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Male,Adult,Nicaragua,Chontales,,,,,,,lore,0,0,0,0,5,
AMNH_103040.00000041,AMNH,birds skins,103040,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Male,Adult,Nicaragua,Chontales,,,,,,,cheek,0,0,0,0,1,
AMNH_103040.00000042,AMNH,birds skins,103040,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Male,Adult,Nicaragua,Chontales,,,,,,,cheek,0,0,0,0,2,
AMNH_103040.00000043,AMNH,birds skins,103040,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Male,Adult,Nicaragua,Chontales,,,,,,,cheek,0,0,0,0,3,
AMNH_103040.00000044,AMNH,birds skins,103040,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Male,Adult,Nicaragua,Chontales,,,,,,,cheek,0,0,0,0,4,
AMNH_103040.00000045,AMNH,birds skins,103040,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Male,Adult,Nicaragua,Chontales,,,,,,,cheek,0,0,0,0,5,
AMNH_103040.00000046,AMNH,birds skins,103040,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Male,Adult,Nicaragua,Chontales,,,,,,,flank,0,0,0,0,1,
AMNH_103040.00000047,AMNH,birds skins,103040,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Male,Adult,Nicaragua,Chontales,,,,,,,flank,0,0,0,0,2,
AMNH_103040.00000048,AMNH,birds skins,103040,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Male,Adult,Nicaragua,Chontales,,,,,,,flank,0,0,0,0,3,
AMNH_103040.00000049,AMNH,birds skins,103040,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Male,Adult,Nicaragua,Chontales,,,,,,,flank,0,0,0,0,4,
AMNH_103040.00000050,AMNH,birds skins,103040,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Male,Adult,Nicaragua,Chontales,,,,,,,flank,0,0,0,0,5,
AMNH_103041.00000001,AMNH,birds skins,103041,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Chontales,,,,,,,throat,0,0,0,0,1,
AMNH_103041.00000002,AMNH,birds skins,103041,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Chontales,,,,,,,throat,0,0,0,0,2,
AMNH_103041.00000003,AMNH,birds skins,103041,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Chontales,,,,,,,throat,0,0,0,0,3,
AMNH_103041.00000004,AMNH,birds skins,103041,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Chontales,,,,,,,throat,0,0,0,0,4,
AMNH_103041.00000005,AMNH,birds skins,103041,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Chontales,,,,,,,throat,0,0,0,0,5,
AMNH_103041.00000006,AMNH,birds skins,103041,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Chontales,,,,,,,breast,0,0,0,0,1,
AMNH_103041.00000007,AMNH,birds skins,103041,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Chontales,,,,,,,breast,0,0,0,0,2,
AMNH_103041.00000008,AMNH,birds skins,103041,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Chontales,,,,,,,breast,0,0,0,0,3,
AMNH_103041.00000009,AMNH,birds skins,103041,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Chontales,,,,,,,breast,0,0,0,0,4,
AMNH_103041.00000010,AMNH,birds skins,103041,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Chontales,,,,,,,breast,0,0,0,0,5,
AMNH_103041.00000011,AMNH,birds skins,103041,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Chontales,,,,,,,belly,0,0,0,0,1,
AMNH_103041.00000012,AMNH,birds skins,103041,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Chontales,,,,,,,belly,0,0,0,0,2,
AMNH_103041.00000013,AMNH,birds skins,103041,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Chontales,,,,,,,belly,0,0,0,0,3,
AMNH_103041.00000014,AMNH,birds skins,103041,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Chontales,,,,,,,belly,0,0,0,0,4,
AMNH_103041.00000015,AMNH,birds skins,103041,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Chontales,,,,,,,belly,0,0,0,0,5,
AMNH_103041.00000016,AMNH,birds skins,103041,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Chontales,,,,,,,upper tail coverts,0,0,0,0,1,
AMNH_103041.00000017,AMNH,birds skins,103041,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Chontales,,,,,,,upper tail coverts,0,0,0,0,2,
AMNH_103041.00000018,AMNH,birds skins,103041,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Chontales,,,,,,,upper tail coverts,0,0,0,0,3,
AMNH_103041.00000019,AMNH,birds skins,103041,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Chontales,,,,,,,upper tail coverts,0,0,0,0,4,
AMNH_103041.00000020,AMNH,birds skins,103041,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Chontales,,,,,,,upper tail coverts,0,0,0,0,5,
AMNH_103041.00000021,AMNH,birds skins,103041,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Chontales,,,,,,,forehead,0,0,0,0,1,
AMNH_103041.00000022,AMNH,birds skins,103041,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Chontales,,,,,,,forehead,0,0,0,0,2,
AMNH_103041.00000023,AMNH,birds skins,103041,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Chontales,,,,,,,forehead,0,0,0,0,3,
AMNH_103041.00000024,AMNH,birds skins,103041,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Chontales,,,,,,,forehead,0,0,0,0,4,
AMNH_103041.00000025,AMNH,birds skins,103041,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Chontales,,,,,,,forehead,0,0,0,0,5,
AMNH_103041.00000026,AMNH,birds skins,103041,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Chontales,,,,,,,crown,0,0,0,0,1,
AMNH_103041.00000027,AMNH,birds skins,103041,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Chontales,,,,,,,crown,0,0,0,0,2,
AMNH_103041.00000028,AMNH,birds skins,103041,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Chontales,,,,,,,crown,0,0,0,0,3,
AMNH_103041.00000029,AMNH,birds skins,103041,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Chontales,,,,,,,crown,0,0,0,0,4,
AMNH_103041.00000030,AMNH,birds skins,103041,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Chontales,,,,,,,crown,0,0,0,0,5,
AMNH_103041.00000031,AMNH,birds skins,103041,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Chontales,,,,,,,back,0,0,0,0,1,
AMNH_103041.00000032,AMNH,birds skins,103041,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Chontales,,,,,,,back,0,0,0,0,2,
AMNH_103041.00000033,AMNH,birds skins,103041,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Chontales,,,,,,,back,0,0,0,0,3,
AMNH_103041.00000034,AMNH,birds skins,103041,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Chontales,,,,,,,back,0,0,0,0,4,
AMNH_103041.00000035,AMNH,birds skins,103041,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Chontales,,,,,,,back,0,0,0,0,5,
AMNH_103041.00000036,AMNH,birds skins,103041,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Chontales,,,,,,,lore,0,0,0,0,1,
AMNH_103041.00000037,AMNH,birds skins,103041,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Chontales,,,,,,,lore,0,0,0,0,2,
AMNH_103041.00000038,AMNH,birds skins,103041,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Chontales,,,,,,,lore,0,0,0,0,3,
AMNH_103041.00000039,AMNH,birds skins,103041,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Chontales,,,,,,,lore,0,0,0,0,4,
AMNH_103041.00000040,AMNH,birds skins,103041,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Chontales,,,,,,,lore,0,0,0,0,5,
AMNH_103041.00000041,AMNH,birds skins,103041,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Chontales,,,,,,,cheek,0,0,0,0,1,
AMNH_103041.00000042,AMNH,birds skins,103041,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Chontales,,,,,,,cheek,0,0,0,0,2,
AMNH_103041.00000043,AMNH,birds skins,103041,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Chontales,,,,,,,cheek,0,0,0,0,3,
AMNH_103041.00000044,AMNH,birds skins,103041,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Chontales,,,,,,,cheek,0,0,0,0,4,
AMNH_103041.00000045,AMNH,birds skins,103041,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Chontales,,,,,,,cheek,0,0,0,0,5,
AMNH_103041.00000046,AMNH,birds skins,103041,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Chontales,,,,,,,flank,0,0,0,0,1,
AMNH_103041.00000047,AMNH,birds skins,103041,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Chontales,,,,,,,flank,0,0,0,0,2,
AMNH_103041.00000048,AMNH,birds skins,103041,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Chontales,,,,,,,flank,0,0,0,0,3,
AMNH_103041.00000049,AMNH,birds skins,103041,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Chontales,,,,,,,flank,0,0,0,0,4,
AMNH_103041.00000050,AMNH,birds skins,103041,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Chontales,,,,,,,flank,0,0,0,0,5,
AMNH_103231.00000001,AMNH,birds skins,103231,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Muy Muy,,,,,,,throat,0,0,0,0,1,
AMNH_103231.00000002,AMNH,birds skins,103231,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Muy Muy,,,,,,,throat,0,0,0,0,2,
AMNH_103231.00000003,AMNH,birds skins,103231,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Muy Muy,,,,,,,throat,0,0,0,0,3,
AMNH_103231.00000004,AMNH,birds skins,103231,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Muy Muy,,,,,,,throat,0,0,0,0,4,
AMNH_103231.00000005,AMNH,birds skins,103231,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Muy Muy,,,,,,,throat,0,0,0,0,5,
AMNH_103231.00000006,AMNH,birds skins,103231,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Muy Muy,,,,,,,breast,0,0,0,0,1,
AMNH_103231.00000007,AMNH,birds skins,103231,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Muy Muy,,,,,,,breast,0,0,0,0,2,
AMNH_103231.00000008,AMNH,birds skins,103231,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Muy Muy,,,,,,,breast,0,0,0,0,3,
AMNH_103231.00000009,AMNH,birds skins,103231,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Muy Muy,,,,,,,breast,0,0,0,0,4,
AMNH_103231.00000010,AMNH,birds skins,103231,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Muy Muy,,,,,,,breast,0,0,0,0,5,
AMNH_103231.00000011,AMNH,birds skins,103231,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Muy Muy,,,,,,,belly,0,0,0,0,1,
AMNH_103231.00000012,AMNH,birds skins,103231,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Muy Muy,,,,,,,belly,0,0,0,0,2,
AMNH_103231.00000013,AMNH,birds skins,103231,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Muy Muy,,,,,,,belly,0,0,0,0,3,
AMNH_103231.00000014,AMNH,birds skins,103231,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Muy Muy,,,,,,,belly,0,0,0,0,4,
AMNH_103231.00000015,AMNH,birds skins,103231,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Muy Muy,,,,,,,belly,0,0,0,0,5,
AMNH_103231.00000016,AMNH,birds skins,103231,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Muy Muy,,,,,,,upper tail coverts,0,0,0,0,1,
AMNH_103231.00000017,AMNH,birds skins,103231,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Muy Muy,,,,,,,upper tail coverts,0,0,0,0,2,
AMNH_103231.00000018,AMNH,birds skins,103231,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Muy Muy,,,,,,,upper tail coverts,0,0,0,0,3,
AMNH_103231.00000019,AMNH,birds skins,103231,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Muy Muy,,,,,,,upper tail coverts,0,0,0,0,4,
AMNH_103231.00000020,AMNH,birds skins,103231,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Muy Muy,,,,,,,upper tail coverts,0,0,0,0,5,
AMNH_103231.00000021,AMNH,birds skins,103231,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Muy Muy,,,,,,,forehead,0,0,0,0,1,
AMNH_103231.00000022,AMNH,birds skins,103231,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Muy Muy,,,,,,,forehead,0,0,0,0,2,
AMNH_103231.00000023,AMNH,birds skins,103231,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Muy Muy,,,,,,,forehead,0,0,0,0,3,
AMNH_103231.00000024,AMNH,birds skins,103231,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Muy Muy,,,,,,,forehead,0,0,0,0,4,
AMNH_103231.00000025,AMNH,birds skins,103231,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Muy Muy,,,,,,,forehead,0,0,0,0,5,
AMNH_103231.00000026,AMNH,birds skins,103231,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Muy Muy,,,,,,,crown,0,0,0,0,1,
AMNH_103231.00000027,AMNH,birds skins,103231,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Muy Muy,,,,,,,crown,0,0,0,0,2,
AMNH_103231.00000028,AMNH,birds skins,103231,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Muy Muy,,,,,,,crown,0,0,0,0,3,
AMNH_103231.00000029,AMNH,birds skins,103231,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Muy Muy,,,,,,,crown,0,0,0,0,4,
AMNH_103231.00000030,AMNH,birds skins,103231,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Muy Muy,,,,,,,crown,0,0,0,0,5,
AMNH_103231.00000031,AMNH,birds skins,103231,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Muy Muy,,,,,,,back,0,0,0,0,1,
AMNH_103231.00000032,AMNH,birds skins,103231,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Muy Muy,,,,,,,back,0,0,0,0,2,
AMNH_103231.00000033,AMNH,birds skins,103231,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Muy Muy,,,,,,,back,0,0,0,0,3,
AMNH_103231.00000034,AMNH,birds skins,103231,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Muy Muy,,,,,,,back,0,0,0,0,4,
AMNH_103231.00000035,AMNH,birds skins,103231,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Muy Muy,,,,,,,back,0,0,0,0,5,
AMNH_103231.00000036,AMNH,birds skins,103231,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Muy Muy,,,,,,,lore,0,0,0,0,1,
AMNH_103231.00000037,AMNH,birds skins,103231,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Muy Muy,,,,,,,lore,0,0,0,0,2,
AMNH_103231.00000038,AMNH,birds skins,103231,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Muy Muy,,,,,,,lore,0,0,0,0,3,
AMNH_103231.00000039,AMNH,birds skins,103231,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Muy Muy,,,,,,,lore,0,0,0,0,4,
